N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),N_FacilitiesInApt,Size(sqf),SalePrice,HallwayType_mixed,HallwayType_terraced,TimeToSubway_10min~15min,TimeToSubway_15min~20min,TimeToSubway_5min~10min,TimeToSubway_no_bus_stop_nearby,SubwayStation_Banwoldang,SubwayStation_Chil-sung-market,SubwayStation_Daegu,SubwayStation_Kyungbuk_uni_hospital,SubwayStation_Myung-duk,SubwayStation_Sin-nam,SubwayStation_no_subway_nearby,Age
5.0,7.0,5.0,0.0,3,576,64601,False,False,True,False,False,False,False,False,False,False,True,False,False,32
0.0,3.0,2.0,108.0,2,288,98761,False,False,False,False,True,False,True,False,False,False,False,False,False,10
5.0,7.0,5.0,0.0,3,644,95132,False,False,True,False,False,False,False,False,False,False,True,False,False,32
0.0,1.0,2.0,536.0,5,914,324778,False,True,False,False,False,False,False,False,False,False,False,True,False,18
2.0,5.0,0.0,76.0,3,498,61946,False,False,False,False,True,False,False,False,True,False,False,False,False,39
5.0,6.0,5.0,536.0,4,914,130088,True,False,False,True,False,False,False,False,False,False,True,False,False,31
5.0,6.0,5.0,536.0,4,914,119469,True,False,False,True,False,False,False,False,False,False,True,False,False,31
2.0,2.0,1.0,203.0,5,910,201672,False,True,False,False,False,True,False,False,False,False,False,False,True,15
5.0,6.0,5.0,536.0,4,644,83185,True,False,False,True,False,False,False,False,False,False,True,False,False,31
5.0,7.0,5.0,0.0,3,355,34513,False,False,True,False,False,False,False,False,False,False,True,False,False,32
5.0,7.0,5.0,0.0,3,576,63716,False,False,True,False,False,False,False,False,False,False,True,False,False,32
1.0,5.0,1.0,0.0,4,1131,302654,False,True,True,False,False,False,False,False,False,True,False,False,False,38
2.0,2.0,1.0,203.0,5,910,187610,False,True,False,False,False,True,False,False,False,False,False,False,True,15
1.0,5.0,1.0,0.0,4,1796,371681,False,True,True,False,False,False,False,False,False,True,False,False,False,38
5.0,7.0,5.0,0.0,3,576,60176,False,False,True,False,False,False,False,False,False,False,True,False,False,32
0.0,1.0,2.0,536.0,5,1412,371681,False,True,False,False,False,False,False,False,False,False,False,True,False,18
1.0,4.0,1.0,218.0,1,156,60176,False,False,False,False,True,False,False,False,False,False,False,False,True,10
0.0,1.0,2.0,536.0,5,1412,323893,False,True,False,False,False,False,False,False,False,False,False,True,False,18
5.0,5.0,4.0,798.0,7,572,97345,True,False,False,False,True,False,False,False,False,False,False,False,False,19
2.0,5.0,0.0,76.0,3,587,55752,False,False,False,False,True,False,False,False,True,False,False,False,False,39
5.0,7.0,5.0,1174.0,9,843,292035,False,True,False,False,False,False,False,False,False,False,True,False,False,10
5.0,5.0,4.0,798.0,7,572,75920,True,False,False,False,True,False,False,False,False,False,False,False,False,19
2.0,2.0,1.0,203.0,5,910,190265,False,True,False,False,False,True,False,False,False,False,False,False,True,15
5.0,5.0,4.0,798.0,7,914,270796,True,False,False,False,True,False,False,False,False,False,False,False,False,19
5.0,6.0,5.0,536.0,4,1761,212389,True,False,False,True,False,False,False,False,False,False,True,False,False,31
1.0,5.0,1.0,0.0,4,1313,181415,False,True,True,False,False,False,False,False,False,True,False,False,False,38
0.0,2.0,2.0,524.0,4,1366,281592,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,4.0,1.0,605.0,5,1690,465486,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,7.0,5.0,1174.0,9,640,262831,False,True,False,False,False,False,False,False,False,False,True,False,False,10
5.0,6.0,5.0,536.0,4,914,150442,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,3.0,2.0,1270.0,10,1643,415929,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,3.0,2.0,1270.0,10,868,194690,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,5.0,3.0,930.0,7,910,318584,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,3.0,2.0,1270.0,10,1643,469026,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,4.0,1.0,605.0,5,1273,317699,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,7.0,5.0,0.0,3,355,69026,False,False,True,False,False,False,False,False,False,False,True,False,False,32
5.0,5.0,4.0,798.0,7,572,74256,True,False,False,False,True,False,False,False,False,False,False,False,False,19
5.0,7.0,5.0,0.0,3,576,138053,False,False,True,False,False,False,False,False,False,False,True,False,False,32
5.0,5.0,4.0,798.0,7,572,195575,True,False,False,False,True,False,False,False,False,False,False,False,False,19
1.0,7.0,3.0,56.0,5,644,86725,True,False,False,True,False,False,False,True,False,False,False,False,False,27
5.0,7.0,5.0,0.0,3,355,36283,False,False,True,False,False,False,False,False,False,False,True,False,False,32
1.0,5.0,1.0,0.0,4,1131,265486,False,True,True,False,False,False,False,False,False,True,False,False,False,38
5.0,7.0,5.0,0.0,3,355,51327,False,False,True,False,False,False,False,False,False,False,True,False,False,32
1.0,2.0,2.0,184.0,5,910,181415,False,True,True,False,False,False,False,False,False,True,False,False,False,18
0.0,5.0,3.0,930.0,7,644,149274,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,1.0,2.0,536.0,5,1412,396460,False,True,False,False,False,False,False,False,False,False,False,True,False,18
1.0,5.0,1.0,0.0,4,1313,238938,False,True,True,False,False,False,False,False,False,True,False,False,False,38
0.0,3.0,2.0,475.0,8,914,234513,False,True,False,False,False,False,False,False,False,False,False,True,False,16
5.0,5.0,4.0,798.0,7,743,199115,True,False,False,False,True,False,False,False,False,False,False,False,False,19
1.0,5.0,2.0,18.0,3,508,108849,False,False,False,False,True,False,False,False,False,False,False,True,False,38
5.0,6.0,5.0,536.0,4,644,84955,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,3.0,2.0,475.0,8,914,236283,False,True,False,False,False,False,False,False,False,False,False,True,False,16
5.0,5.0,4.0,798.0,7,914,280530,True,False,False,False,True,False,False,False,False,False,False,False,False,19
5.0,7.0,5.0,0.0,3,355,38053,False,False,True,False,False,False,False,False,False,False,True,False,False,32
5.0,6.0,5.0,536.0,4,914,127433,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,5.0,3.0,930.0,7,644,150778,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,3.0,2.0,1270.0,10,1643,508849,False,True,False,False,False,False,False,False,False,True,False,False,False,17
2.0,3.0,1.0,181.0,4,903,279646,False,True,False,False,False,False,False,False,False,False,True,False,False,18
0.0,4.0,1.0,605.0,5,1444,295575,False,True,False,False,False,False,True,False,False,False,False,False,False,17
1.0,5.0,2.0,18.0,3,508,108407,False,False,False,False,True,False,False,False,False,False,False,True,False,38
0.0,1.0,2.0,536.0,5,1412,265486,False,True,False,False,False,False,False,False,False,False,False,True,False,18
0.0,3.0,2.0,1270.0,10,1387,312389,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,4.0,1.0,605.0,5,1483,370796,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,2.0,2.0,524.0,4,1366,290000,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,2.0,2.0,524.0,4,1103,247787,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,5.0,4.0,798.0,7,1184,201769,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,3.0,2.0,1270.0,10,1643,360176,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,3.0,2.0,1270.0,10,868,233628,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,3.0,2.0,1270.0,10,1643,408849,False,True,False,False,False,False,False,False,False,True,False,False,False,17
5.0,6.0,5.0,536.0,4,914,127433,True,False,False,True,False,False,False,False,False,False,True,False,False,31
1.0,2.0,2.0,184.0,5,910,296460,False,True,True,False,False,False,False,False,False,True,False,False,False,18
0.0,4.0,1.0,605.0,5,1483,387610,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,6.0,5.0,536.0,4,914,172566,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,3.0,2.0,1270.0,10,868,238938,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,4.0,1.0,605.0,5,1690,462831,False,True,False,False,False,False,True,False,False,False,False,False,False,17
1.0,2.0,2.0,184.0,5,811,199115,False,True,True,False,False,False,False,False,False,True,False,False,False,18
5.0,6.0,5.0,536.0,4,644,176991,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,5.0,3.0,930.0,7,910,309734,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,5.0,3.0,930.0,7,644,144752,False,True,False,False,False,False,False,False,False,True,False,False,False,11
5.0,6.0,5.0,536.0,4,1451,163716,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,3.0,2.0,1270.0,10,868,215486,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,3.0,2.0,1270.0,10,868,209734,False,True,False,False,False,False,False,False,False,True,False,False,False,17
5.0,6.0,5.0,536.0,4,914,222123,True,False,False,True,False,False,False,False,False,False,True,False,False,31
5.0,5.0,4.0,798.0,7,572,73840,True,False,False,False,True,False,False,False,False,False,False,False,False,19
5.0,6.0,5.0,536.0,4,914,246017,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,3.0,2.0,0.0,3,779,201769,False,False,False,False,False,False,False,False,False,True,False,False,False,46
0.0,1.0,1.0,1321.0,10,1035,455752,False,True,False,False,True,False,False,False,False,False,False,False,True,9
0.0,4.0,1.0,605.0,5,1334,357522,False,True,False,False,False,False,True,False,False,False,False,False,False,17
1.0,2.0,2.0,184.0,5,910,284070,False,True,True,False,False,False,False,False,False,True,False,False,False,18
0.0,1.0,2.0,536.0,5,2056,380530,False,True,False,False,False,False,False,False,False,False,False,True,False,18
0.0,3.0,2.0,0.0,3,903,130088,False,False,False,False,False,False,False,False,False,True,False,False,False,46
1.0,2.0,2.0,184.0,5,910,209734,False,True,True,False,False,False,False,False,False,True,False,False,False,18
5.0,5.0,4.0,798.0,7,572,202654,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,5.0,3.0,930.0,7,644,147761,False,True,False,False,False,False,False,False,False,True,False,False,False,11
5.0,6.0,5.0,536.0,4,914,121238,True,False,False,True,False,False,False,False,False,False,True,False,False,31
5.0,7.0,5.0,1174.0,9,907,327433,False,True,False,False,False,False,False,False,False,False,True,False,False,10
5.0,7.0,5.0,1174.0,9,910,333628,False,True,False,False,False,False,False,False,False,False,True,False,False,10
1.0,2.0,2.0,184.0,5,910,283185,False,True,True,False,False,False,False,False,False,True,False,False,False,18
1.0,5.0,1.0,0.0,4,914,184955,False,True,True,False,False,False,False,False,False,True,False,False,False,38
0.0,1.0,2.0,536.0,5,1437,247787,False,True,False,False,False,False,False,False,False,False,False,True,False,18
0.0,0.0,0.0,203.0,10,914,362831,False,True,False,False,False,False,True,False,False,False,False,False,False,10
0.0,1.0,2.0,536.0,5,1412,432743,False,True,False,False,False,False,False,False,False,False,False,True,False,18
0.0,2.0,2.0,524.0,4,1394,291238,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,7.0,5.0,0.0,3,355,35840,False,False,True,False,False,False,False,False,False,False,True,False,False,32
1.0,5.0,1.0,0.0,4,914,246017,False,True,True,False,False,False,False,False,False,True,False,False,False,38
1.0,5.0,1.0,0.0,4,2092,247787,False,True,True,False,False,False,False,False,False,True,False,False,False,38
0.0,5.0,3.0,930.0,7,426,103663,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,1.0,1.0,1321.0,10,914,407079,False,True,False,False,True,False,False,False,False,False,False,False,True,9
5.0,5.0,4.0,798.0,7,914,152212,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,5.0,3.0,930.0,7,910,260707,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,5.0,3.0,930.0,7,644,146256,False,True,False,False,False,False,False,False,False,True,False,False,False,11
5.0,5.0,4.0,798.0,7,572,75920,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,5.0,3.0,930.0,7,644,141884,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,3.0,2.0,475.0,8,829,203539,False,True,False,False,False,False,False,False,False,False,False,True,False,16
0.0,5.0,3.0,930.0,7,910,257654,False,True,False,False,False,False,False,False,False,True,False,False,False,11
5.0,6.0,5.0,536.0,4,1288,309734,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,5.0,3.0,930.0,7,426,103663,False,True,False,False,False,False,False,False,False,True,False,False,False,11
2.0,3.0,1.0,181.0,4,903,153097,False,True,False,False,False,False,False,False,False,False,True,False,False,18
5.0,5.0,4.0,798.0,7,914,159292,True,False,False,False,True,False,False,False,False,False,False,False,False,19
5.0,7.0,5.0,1174.0,9,640,274336,False,True,False,False,False,False,False,False,False,False,True,False,False,10
5.0,7.0,5.0,0.0,3,355,38938,False,False,True,False,False,False,False,False,False,False,True,False,False,32
1.0,5.0,1.0,0.0,4,914,256637,False,True,True,False,False,False,False,False,False,True,False,False,False,38
0.0,5.0,3.0,930.0,7,907,252814,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,1.0,2.0,536.0,5,2056,380530,False,True,False,False,False,False,False,False,False,False,False,True,False,18
0.0,3.0,2.0,475.0,8,914,172566,False,True,False,False,False,False,False,False,False,False,False,True,False,16
0.0,2.0,2.0,524.0,4,1103,221238,False,True,False,False,False,False,True,False,False,False,False,False,False,17
1.0,5.0,1.0,0.0,4,1377,168141,False,True,True,False,False,False,False,False,False,True,False,False,False,38
0.0,4.0,1.0,605.0,5,1629,432743,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,3.0,2.0,1270.0,10,1643,345902,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,5.0,3.0,930.0,7,644,147761,False,True,False,False,False,False,False,False,False,True,False,False,False,11
1.0,5.0,1.0,0.0,4,1131,178761,False,True,True,False,False,False,False,False,False,True,False,False,False,38
2.0,3.0,1.0,181.0,4,903,160176,False,True,False,False,False,False,False,False,False,False,True,False,False,18
5.0,5.0,4.0,798.0,7,743,178761,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,4.0,1.0,605.0,5,1483,408849,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,6.0,5.0,536.0,4,914,165486,True,False,False,True,False,False,False,False,False,False,True,False,False,31
5.0,6.0,5.0,536.0,4,914,115044,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,5.0,3.0,930.0,7,644,140380,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,1.0,2.0,536.0,5,1743,340707,False,True,False,False,False,False,False,False,False,False,False,True,False,18
0.0,3.0,2.0,1270.0,10,868,268141,False,True,False,False,False,False,False,False,False,True,False,False,False,17
5.0,6.0,5.0,536.0,4,1761,309734,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,2.0,2.0,524.0,4,1394,362831,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,1.0,2.0,536.0,5,1412,262831,False,True,False,False,False,False,False,False,False,False,False,True,False,18
5.0,6.0,5.0,536.0,4,644,99115,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,1.0,1.0,1321.0,10,910,392920,False,True,False,False,True,False,False,False,False,False,False,False,True,9
0.0,2.0,2.0,524.0,4,1103,269911,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,3.0,2.0,1270.0,10,1928,376867,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,5.0,3.0,930.0,7,644,149274,False,True,False,False,False,False,False,False,False,True,False,False,False,11
5.0,7.0,5.0,0.0,3,355,70353,False,False,True,False,False,False,False,False,False,False,True,False,False,32
5.0,6.0,5.0,536.0,4,914,123893,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,2.0,2.0,524.0,4,914,287610,False,True,False,False,False,False,True,False,False,False,False,False,False,17
2.0,3.0,1.0,181.0,4,903,297787,False,True,False,False,False,False,False,False,False,False,True,False,False,18
5.0,7.0,5.0,1174.0,9,846,325221,False,True,False,False,False,False,False,False,False,False,True,False,False,10
0.0,3.0,2.0,475.0,8,829,292035,False,True,False,False,False,False,False,False,False,False,False,True,False,16
1.0,5.0,4.0,79.0,3,644,107964,True,False,False,True,False,False,False,False,False,False,True,False,False,32
5.0,7.0,5.0,1174.0,9,843,335398,False,True,False,False,False,False,False,False,False,False,True,False,False,10
1.0,5.0,1.0,0.0,4,914,149292,False,True,True,False,False,False,False,False,False,True,False,False,False,38
1.0,5.0,4.0,79.0,3,644,92920,True,False,False,True,False,False,False,False,False,False,True,False,False,32
0.0,4.0,1.0,605.0,5,1334,326548,False,True,False,False,False,False,True,False,False,False,False,False,False,17
2.0,2.0,1.0,203.0,5,910,230088,False,True,False,False,False,True,False,False,False,False,False,False,True,15
5.0,6.0,5.0,536.0,4,914,247787,True,False,False,True,False,False,False,False,False,False,True,False,False,31
5.0,6.0,5.0,536.0,4,914,228318,True,False,False,True,False,False,False,False,False,False,True,False,False,31
5.0,6.0,5.0,536.0,4,914,231858,True,False,False,True,False,False,False,False,False,False,True,False,False,31
5.0,6.0,5.0,536.0,4,2337,314159,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,3.0,2.0,1270.0,10,868,334513,False,True,False,False,False,False,False,False,False,True,False,False,False,17
5.0,7.0,5.0,0.0,3,576,74336,False,False,True,False,False,False,False,False,False,False,True,False,False,32
2.0,2.0,1.0,203.0,5,910,203646,False,True,False,False,False,True,False,False,False,False,False,False,True,15
0.0,1.0,1.0,1321.0,10,914,384955,False,True,False,False,True,False,False,False,False,False,False,False,True,9
0.0,4.0,1.0,605.0,5,1483,393805,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,3.0,2.0,1270.0,10,868,212389,False,True,False,False,False,False,False,False,False,True,False,False,False,17
5.0,7.0,5.0,0.0,3,355,68141,False,False,True,False,False,False,False,False,False,False,True,False,False,32
5.0,7.0,5.0,0.0,3,640,74778,False,False,True,False,False,False,False,False,False,False,True,False,False,32
0.0,3.0,2.0,1270.0,10,868,207079,False,True,False,False,False,False,False,False,False,True,False,False,False,17
5.0,5.0,4.0,798.0,7,572,75920,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,4.0,1.0,605.0,5,1690,422123,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,1.0,2.0,536.0,5,1149,300884,False,True,False,False,False,False,False,False,False,False,False,True,False,18
2.0,2.0,1.0,203.0,5,1160,210619,False,True,False,False,False,True,False,False,False,False,False,False,True,15
0.0,3.0,2.0,1270.0,10,1928,529203,False,True,False,False,False,False,False,False,False,True,False,False,False,17
5.0,5.0,4.0,798.0,7,743,193805,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,1.0,2.0,536.0,5,818,165486,False,True,False,False,False,False,False,False,False,False,False,True,False,18
1.0,5.0,1.0,0.0,4,1796,243362,False,True,True,False,False,False,False,False,False,True,False,False,False,38
2.0,2.0,1.0,203.0,5,910,207044,False,True,False,False,False,True,False,False,False,False,False,False,True,15
1.0,5.0,1.0,0.0,4,2092,237168,False,True,True,False,False,False,False,False,False,True,False,False,False,38
0.0,1.0,2.0,536.0,5,1743,274336,False,True,False,False,False,False,False,False,False,False,False,True,False,18
0.0,4.0,1.0,605.0,5,1629,432743,False,True,False,False,False,False,True,False,False,False,False,False,False,17
2.0,2.0,1.0,203.0,5,910,207044,False,True,False,False,False,True,False,False,False,False,False,False,True,15
5.0,6.0,5.0,536.0,4,644,157964,True,False,False,True,False,False,False,False,False,False,True,False,False,31
5.0,5.0,4.0,798.0,7,743,189115,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,3.0,2.0,1270.0,10,868,207964,False,True,False,False,False,False,False,False,False,True,False,False,False,17
1.0,2.0,2.0,184.0,5,910,264159,False,True,True,False,False,False,False,False,False,True,False,False,False,18
0.0,3.0,2.0,475.0,8,914,254867,False,True,False,False,False,False,False,False,False,False,False,True,False,16
0.0,3.0,2.0,1270.0,10,1928,402654,False,True,False,False,False,False,False,False,False,True,False,False,False,17
1.0,5.0,2.0,18.0,3,508,65486,False,False,False,False,True,False,False,False,False,False,False,True,False,38
2.0,2.0,1.0,203.0,5,910,274336,False,True,False,False,False,True,False,False,False,False,False,False,True,15
0.0,5.0,3.0,930.0,7,644,150778,False,True,False,False,False,False,False,False,False,True,False,False,False,11
1.0,5.0,4.0,79.0,3,644,159292,True,False,False,True,False,False,False,False,False,False,True,False,False,32
0.0,1.0,2.0,536.0,5,1437,346902,False,True,False,False,False,False,False,False,False,False,False,True,False,18
2.0,3.0,1.0,181.0,4,903,163716,False,True,False,False,False,False,False,False,False,False,True,False,False,18
1.0,2.0,2.0,184.0,5,910,179646,False,True,True,False,False,False,False,False,False,True,False,False,False,18
0.0,5.0,3.0,930.0,7,426,103663,False,True,False,False,False,False,False,False,False,True,False,False,False,11
2.0,2.0,1.0,203.0,5,1160,188265,False,True,False,False,False,True,False,False,False,False,False,False,True,15
5.0,6.0,5.0,536.0,4,1451,176991,True,False,False,True,False,False,False,False,False,False,True,False,False,31
1.0,5.0,4.0,79.0,3,914,184955,True,False,False,True,False,False,False,False,False,False,True,False,False,32
0.0,3.0,2.0,1270.0,10,1387,338053,False,True,False,False,False,False,False,False,False,True,False,False,False,17
1.0,7.0,3.0,56.0,5,644,88495,True,False,False,True,False,False,False,True,False,False,False,False,False,27
5.0,5.0,4.0,798.0,7,743,148672,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,1.0,2.0,536.0,5,1412,273451,False,True,False,False,False,False,False,False,False,False,False,True,False,18
1.0,2.0,2.0,184.0,5,636,178318,False,True,True,False,False,False,False,False,False,True,False,False,False,18
0.0,1.0,2.0,536.0,5,1149,294690,False,True,False,False,False,False,False,False,False,False,False,True,False,18
5.0,6.0,5.0,536.0,4,914,106194,True,False,False,True,False,False,False,False,False,False,True,False,False,31
5.0,7.0,5.0,0.0,3,576,61946,False,False,True,False,False,False,False,False,False,False,True,False,False,32
1.0,5.0,1.0,0.0,4,1131,166371,False,True,True,False,False,False,False,False,False,True,False,False,False,38
5.0,5.0,4.0,798.0,7,743,147787,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,3.0,2.0,475.0,8,829,164601,False,True,False,False,False,False,False,False,False,False,False,True,False,16
5.0,7.0,5.0,0.0,3,355,49557,False,False,True,False,False,False,False,False,False,False,True,False,False,32
5.0,6.0,5.0,536.0,4,2337,269911,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,1.0,1.0,1321.0,10,910,394690,False,True,False,False,True,False,False,False,False,False,False,False,True,9
5.0,6.0,5.0,536.0,4,644,162743,True,False,False,True,False,False,False,False,False,False,True,False,False,31
2.0,3.0,1.0,181.0,4,903,296460,False,True,False,False,False,False,False,False,False,False,True,False,False,18
1.0,5.0,2.0,18.0,3,508,84070,False,False,False,False,True,False,False,False,False,False,False,True,False,38
5.0,5.0,4.0,798.0,7,914,185840,True,False,False,False,True,False,False,False,False,False,False,False,False,19
5.0,6.0,5.0,536.0,4,644,82743,True,False,False,True,False,False,False,False,False,False,True,False,False,31
1.0,5.0,1.0,0.0,4,1377,207964,False,True,True,False,False,False,False,False,False,True,False,False,False,38
1.0,7.0,3.0,56.0,5,644,63716,True,False,False,True,False,False,False,True,False,False,False,False,False,27
0.0,1.0,2.0,536.0,5,1412,265486,False,True,False,False,False,False,False,False,False,False,False,True,False,18
0.0,5.0,3.0,930.0,7,910,262831,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,3.0,2.0,0.0,3,903,156637,False,False,False,False,False,False,False,False,False,True,False,False,False,46
5.0,6.0,5.0,536.0,4,914,159292,True,False,False,True,False,False,False,False,False,False,True,False,False,31
2.0,2.0,1.0,203.0,5,910,190265,False,True,False,False,False,True,False,False,False,False,False,False,True,15
5.0,5.0,4.0,798.0,7,743,241592,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,3.0,2.0,1270.0,10,1387,328318,False,True,False,False,False,False,False,False,False,True,False,False,False,17
2.0,2.0,1.0,203.0,5,1160,292035,False,True,False,False,False,True,False,False,False,False,False,False,True,15
1.0,7.0,3.0,56.0,5,558,66371,True,False,False,True,False,False,False,True,False,False,False,False,False,27
5.0,6.0,5.0,536.0,4,644,159292,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,1.0,1.0,1321.0,10,910,398230,False,True,False,False,True,False,False,False,False,False,False,False,True,9
1.0,2.0,2.0,184.0,5,814,180530,False,True,True,False,False,False,False,False,False,True,False,False,False,18
2.0,3.0,1.0,181.0,4,903,199115,False,True,False,False,False,False,False,False,False,False,True,False,False,18
1.0,7.0,3.0,56.0,5,907,175221,True,False,False,True,False,False,False,True,False,False,False,False,False,21
1.0,5.0,4.0,79.0,3,914,106194,True,False,False,True,False,False,False,False,False,False,True,False,False,32
0.0,5.0,3.0,930.0,7,910,330973,False,True,False,False,False,False,False,False,False,True,False,False,False,11
1.0,5.0,1.0,0.0,4,914,141592,False,True,True,False,False,False,False,False,False,True,False,False,False,38
5.0,5.0,4.0,798.0,7,743,143362,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,4.0,1.0,605.0,5,1690,462831,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,3.0,2.0,1270.0,10,1387,486725,False,True,False,False,False,False,False,False,False,True,False,False,False,17
5.0,5.0,4.0,798.0,7,572,151327,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,1.0,2.0,536.0,5,2056,380530,False,True,False,False,False,False,False,False,False,False,False,True,False,18
5.0,6.0,5.0,536.0,4,1451,174336,True,False,False,True,False,False,False,False,False,False,True,False,False,31
5.0,7.0,5.0,0.0,3,576,61946,False,False,True,False,False,False,False,False,False,False,True,False,False,32
0.0,3.0,2.0,1270.0,10,1387,464601,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,5.0,3.0,930.0,7,644,149274,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,5.0,3.0,930.0,7,426,103663,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,3.0,2.0,475.0,8,829,230088,False,True,False,False,False,False,False,False,False,False,False,True,False,16
0.0,2.0,2.0,524.0,4,1103,256637,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,1.0,2.0,536.0,5,1412,288495,False,True,False,False,False,False,False,False,False,False,False,True,False,18
5.0,7.0,5.0,0.0,3,576,132743,False,False,True,False,False,False,False,False,False,False,True,False,False,32
0.0,5.0,3.0,930.0,7,910,255442,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,2.0,2.0,524.0,4,1103,209911,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,7.0,5.0,0.0,3,640,119469,False,False,True,False,False,False,False,False,False,False,True,False,False,32
1.0,5.0,1.0,0.0,4,914,184070,False,True,True,False,False,False,False,False,False,True,False,False,False,38
1.0,5.0,4.0,79.0,3,1448,274336,True,False,False,True,False,False,False,False,False,False,True,False,False,32
0.0,1.0,1.0,1321.0,10,914,380530,False,True,False,False,True,False,False,False,False,False,False,False,True,9
0.0,3.0,2.0,1270.0,10,868,268141,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,3.0,2.0,1270.0,10,1643,389380,False,True,False,False,False,False,False,False,False,True,False,False,False,17
5.0,5.0,4.0,798.0,7,743,199115,True,False,False,False,True,False,False,False,False,False,False,False,False,19
5.0,5.0,4.0,798.0,7,572,73840,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,3.0,2.0,1270.0,10,868,327433,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,4.0,1.0,605.0,5,1690,408849,False,True,False,False,False,False,True,False,False,False,False,False,False,17
